,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
658,Daihatsu,Daihatsu Boon,1431000,5,5,3660,1665,1525,2490,910,51,996,710,839,36,2016,mini
659,Daihatsu,Daihatsu Boon,1453680,5,5,3650,1665,1525,2490,960,51,996,710,839,38,2016,mini
660,Daihatsu,Daihatsu Boon,1442880,5,5,3650,1665,1525,2490,960,51,996,710,839,38,2018,mini
661,Daihatsu,Daihatsu Boon,1891080,5,5,3680,1665,1525,2490,960,51,996,710,839,38,2018,mini
662,Daihatsu,Daihatsu BE GO,1711500,5,5,3995,1695,1690,2580,1150,80,1495,720,918,50,2008,Subcompact
663,Daihatsu,Daihatsu Boon Luminas,1928000,5,7,4180,1695,1620,2750,1240,80,1495,720,918,42,2008,Subcompact
664,Daihatsu,Daihatsu Boon,1407000,5,5,3630,1665,1550,2440,940,68,1297,720,797,40,2006,Subcompact
665,Daihatsu,Daihatsu BE GO,1816500,5,5,3995,1695,1705,2580,1180,80,1495,720,918,50,2006,Subcompact
666,Daihatsu,Daihatsu BE GO,2020114,5,5,4005,1695,1705,2580,1200,80,1495,720,918,50,2014,Subcompact
667,Daihatsu,Daihatsu Boon,1360800,5,5,3650,1665,1535,2440,910,51,996,710,839,40,2014,mini
668,Daihatsu,Daihatsu BE GO,2016000,5,5,3995,1695,1690,2580,1190,80,1495,720,918,50,2008,Subcompact
669,Daihatsu,Daihatsu BE GO,1978971,5,5,4005,1695,1690,2580,1160,80,1495,720,918,50,2014,Subcompact
670,Daihatsu,Daihatsu Boon,1323000,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2016,mini
671,Daihatsu,Daihatsu Boon,1657800,5,5,3660,1665,1525,2490,910,51,996,710,839,36,2016,mini
672,Daihatsu,Daihatsu BE GO,1690000,5,5,4005,1695,1690,2580,1160,80,1495,720,918,50,2013,Subcompact
673,Daihatsu,Daihatsu Boon,1522800,5,5,3680,1665,1525,2490,910,51,996,710,839,36,2018,mini
674,Daihatsu,Daihatsu Boon,1302000,5,5,3595,1665,1535,2440,940,52,996,710,839,38,2005,mini
675,Daihatsu,Daihatsu Boon Luminas,1535000,5,7,4180,1695,1620,2750,1170,80,1495,720,918,42,2008,Subcompact
676,Daihatsu,Daihatsu BE GO,2083000,5,5,4005,1695,1690,2580,1200,80,1495,720,918,50,2010,Subcompact
677,Daihatsu,Daihatsu Boon,1144500,5,5,3600,1665,1550,2440,900,52,996,710,839,40,2008,mini
678,Daihatsu,Daihatsu Boon,1853280,5,5,3660,1665,1525,2490,960,51,996,710,839,38,2016,mini
679,Daihatsu,Daihatsu BE GO,1859000,5,5,4005,1695,1705,2580,1200,80,1495,720,918,50,2012,Subcompact
680,Daihatsu,Daihatsu Boon,1242000,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2018,mini
